al ag as at k5 lm ln,iq ir mg bn,iq ir mg bn,al ag as at k5 lm ln,kp kq fy fw b1,g2 fv g3 be di bg dj b1,rich-text
80,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,80,,"冷飲(660ml)：總熱量314大卡，總糖量52公克，咖啡因245毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量230大卡，總糖量34公克，咖啡因204毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅水烏龍/臺灣、越南(本產品圖片僅供參考，實品請以實物為主)",
75,冬瓜鮮乳 Winter Melon Fresh Milk(無添加茶),冬瓜鮮乳 Winter Melon Fresh Milk(無添加茶),75,,"冷飲(660ml)：總熱量284大卡，總糖量44公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量310大卡，總糖量49公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主)",
75,翡翠鮮乳茶 Green Fresh Milk Tea,翡翠鮮乳茶 Green Fresh Milk Tea,75,,"冷飲(660ml)：總熱量315大卡，總糖量52公克，咖啡因185毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量232大卡，總糖量34公克，咖啡因185毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
85,巧克力鮮乳茶 Chocolate Fresh Milk Tea,巧克力鮮乳茶 Chocolate Fresh Milk Tea,85,,"冷飲(660ml)：總熱量348大卡，總糖量51公克，咖啡因177毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量332大卡，總糖量44公克，咖啡因132毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/龜記濃乳茶/臺灣、斯里蘭卡、肯亞(本產品圖片僅供參考，實品請以實物為主)",
85,茶王鮮乳茶 33 King's Oolong Fresh Milk Tea,茶王鮮乳茶 33 King's Oolong Fresh Milk Tea,85,,"冷飲(660ml)：總熱量322大卡，總糖量52公克，咖啡因146毫克。
(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算) 熱飲(500ml)：總熱量238大卡，總糖量34公克，咖啡因122毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣 (本產品圖片僅供參考，實品請以實物為主)",
85,碎銀普洱鮮乳 Puerh Fresh Milk Tea,碎銀普洱鮮乳 Puerh Fresh Milk Tea,85,,"冷飲(660ml)：總熱量312大卡，總糖量52公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量230大卡，總糖量34公克，咖啡因172毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
60,蜂蜜四季春 Honey Four Season Tea,蜂蜜四季春 Honey Four Season Tea,60,,冷飲(660ml)：總熱量137大卡，總糖量29公克，咖啡因148毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/四季春青茶/臺灣(本產品圖片僅供參考，實品請以實物為主),
60,蜂蜜綠茶 Honey Green Tea,蜂蜜綠茶 Honey Green Tea,60,,冷飲(660ml)：總熱量134大卡，總糖量29公克，咖啡因103毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
75,蜂蜜雷夢 Honey Lemonade,蜂蜜雷夢 Honey Lemonade,75,,冷飲(660ml)：總熱量263大卡，總糖量57公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
85,雷夢蘆薈蜜 Honey Lemonade with Aloe,雷夢蘆薈蜜 Honey Lemonade with Aloe,85,,冷飲(660ml)：總熱量309大卡，總糖量69公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
70,蜂蜜花沫烏龍 Honey Blooming Oolong Tea,蜂蜜花沫烏龍 Honey Blooming Oolong Tea,70,,"冷飲(660ml)：總熱量136大卡，總糖量29公克，咖啡因131毫克。
(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算) 花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主)",
2,外送塑膠袋,外送塑膠袋,2,,需要裝袋，請一定要購買提袋喔！感恩！,
